item,condition,sentence,target,alternative
ParkerAn_0_CORE_P,CORE_P,The waitress qui a assis les filles sans surprise,eétait,eétaient
ParkerAn_0_CORE_P,CORE_P,La serveuse sat  the girls unsurprisingly,was,were
ParkerAn_0_CORE_P,CORE_P,La serveuse sat  the girls unsurprisingly,eétait,eétaient
ParkerAn_0_CORE_P,CORE_P,La serveusequi a assis les filles sans surprise,was,were
ParkerAn_0_CORE_P,CORE_P,La serveusequi a assis les filles sans surprise,eétait,eétaient
ParkerAn_1_OBLIQUE_S,OBLIQUE_S,The dog  dug in the hole unfortunately,was,were
ParkerAn_1_OBLIQUE_S,OBLIQUE_S,The dog  dug in the hole unfortunately,eétait,eétaient
ParkerAn_1_OBLIQUE_S,OBLIQUE_S,The dog qui a creusé dans le trou malheureusement,was,were
ParkerAn_1_OBLIQUE_S,OBLIQUE_S,The dog qui a creusé dans le trou malheureusement,eétait,eétaient
ParkerAn_1_OBLIQUE_S,OBLIQUE_S,Le chien dug in the hole unfortunately,was,were
ParkerAn_1_OBLIQUE_S,OBLIQUE_S,Le chien dug in the hole unfortunately,eétait,eétaient
ParkerAn_1_OBLIQUE_S,OBLIQUE_S,Le chienqui a creusé dans le trou malheureusement,was,were
ParkerAn_1_OBLIQUE_S,OBLIQUE_S,Le chienqui a creusé dans le trou malheureusement,eétait,eétaient
ParkerAn_1_CORE_S,CORE_S,The dog  dug  the hole unfortunately,was,were
ParkerAn_1_CORE_S,CORE_S,The dog  dug  the hole unfortunately,eétait,eétaient
ParkerAn_1_CORE_S,CORE_S,The dog qui a creusé le trou malheureusement,was,were
ParkerAn_1_CORE_S,CORE_S,The dog qui a creusé le trou malheureusement,eétait,eétaient
ParkerAn_1_CORE_S,CORE_S,Le chien dug  the hole unfortunately,was,were
ParkerAn_1_CORE_S,CORE_S,Le chien dug  the hole unfortunately,eétait,eétaient
ParkerAn_1_CORE_S,CORE_S,Le chienqui a creusé le trou malheureusement,was,were
ParkerAn_1_CORE_S,CORE_S,Le chienqui a creusé le trou malheureusement,eétait,eétaient
ParkerAn_1_OBLIQUE_P,OBLIQUE_P,The dog  dug in the holes unfortunately,was,were
ParkerAn_1_OBLIQUE_P,OBLIQUE_P,The dog  dug in the holes unfortunately,eétait,eétaient
ParkerAn_1_OBLIQUE_P,OBLIQUE_P,The dog qui a creusé dans les trous malheureusement,was,were
ParkerAn_1_OBLIQUE_P,OBLIQUE_P,The dog qui a creusé dans les trous malheureusement,eétait,eétaient
ParkerAn_1_OBLIQUE_P,OBLIQUE_P,Le chien dug in the holes unfortunately,was,were
ParkerAn_1_OBLIQUE_P,OBLIQUE_P,Le chien dug in the holes unfortunately,eétait,eétaient
ParkerAn_1_OBLIQUE_P,OBLIQUE_P,Le chienqui a creusé dans les trous malheureusement,was,were
ParkerAn_1_OBLIQUE_P,OBLIQUE_P,Le chienqui a creusé dans les trous malheureusement,eétait,eétaient
ParkerAn_1_CORE_P,CORE_P,The dog  dug  the holes unfortunately,was,were
ParkerAn_1_CORE_P,CORE_P,The dog  dug  the holes unfortunately,eétait,eétaient
ParkerAn_1_CORE_P,CORE_P,The dog qui a creusé les trous malheureusement,was,were
ParkerAn_1_CORE_P,CORE_P,The dog qui a creusé les trous malheureusement,eétait,eétaient
ParkerAn_1_CORE_P,CORE_P,Le chien dug  the holes unfortunately,was,were
ParkerAn_1_CORE_P,CORE_P,Le chien dug  the holes unfortunately,eétait,eétaient
ParkerAn_1_CORE_P,CORE_P,Le chienqui a creusé les trous malheureusement,was,were
ParkerAn_1_CORE_P,CORE_P,Le chienqui a creusé les trous malheureusement,eétait,eétaient
ParkerAn_2_OBLIQUE_S,OBLIQUE_S,The boy  played in the game apparently,was,were
ParkerAn_2_OBLIQUE_S,OBLIQUE_S,The boy  played in the game apparently,eétait,eétaient
ParkerAn_2_OBLIQUE_S,OBLIQUE_S,The boy qui a joué dans le jeu apparemment,was,were
ParkerAn_2_OBLIQUE_S,OBLIQUE_S,The boy qui a joué dans le jeu apparemment,eétait,eétaient
ParkerAn_2_OBLIQUE_S,OBLIQUE_S,Le garçon played in the game apparently,was,were
ParkerAn_2_OBLIQUE_S,OBLIQUE_S,Le garçon played in the game apparently,eétait,eétaient
ParkerAn_2_OBLIQUE_S,OBLIQUE_S,Le garçonqui a joué dans le jeu apparemment,was,were
ParkerAn_2_OBLIQUE_S,OBLIQUE_S,Le garçonqui a joué dans le jeu apparemment,eétait,eétaient
ParkerAn_2_CORE_S,CORE_S,The boy  played  the game apparently,was,were
ParkerAn_2_CORE_S,CORE_S,The boy  played  the game apparently,eétait,eétaient
ParkerAn_2_CORE_S,CORE_S,The boy qui a joué le jeu apparemment,was,were
ParkerAn_2_CORE_S,CORE_S,The boy qui a joué le jeu apparemment,eétait,eétaient
ParkerAn_2_CORE_S,CORE_S,Le garçon played  the game apparently,was,were
ParkerAn_2_CORE_S,CORE_S,Le garçon played  the game apparently,eétait,eétaient
ParkerAn_2_CORE_S,CORE_S,Le garçonqui a joué le jeu apparemment,was,were
ParkerAn_2_CORE_S,CORE_S,Le garçonqui a joué le jeu apparemment,eétait,eétaient
ParkerAn_2_OBLIQUE_P,OBLIQUE_P,The boy  played in the games apparently,was,were
ParkerAn_2_OBLIQUE_P,OBLIQUE_P,The boy  played in the games apparently,eétait,eétaient
ParkerAn_2_OBLIQUE_P,OBLIQUE_P,The boy qui a joué dans les jeux apparemment,was,were
ParkerAn_2_OBLIQUE_P,OBLIQUE_P,The boy qui a joué dans les jeux apparemment,eétait,eétaient
ParkerAn_2_OBLIQUE_P,OBLIQUE_P,Le garçon played in the games apparently,was,were
ParkerAn_2_OBLIQUE_P,OBLIQUE_P,Le garçon played in the games apparently,eétait,eétaient
ParkerAn_2_OBLIQUE_P,OBLIQUE_P,Le garçonqui a joué dans les jeux apparemment,was,were
ParkerAn_2_OBLIQUE_P,OBLIQUE_P,Le garçonqui a joué dans les jeux apparemment,eétait,eétaient
ParkerAn_2_CORE_P,CORE_P,The boy  played  the games apparently,was,were
ParkerAn_2_CORE_P,CORE_P,The boy  played  the games apparently,eétait,eétaient
ParkerAn_2_CORE_P,CORE_P,The boy qui a joué aux jeux apparemment,was,were
ParkerAn_2_CORE_P,CORE_P,The boy qui a joué aux jeux apparemment,eétait,eétaient
ParkerAn_2_CORE_P,CORE_P,Le garçon played  the games apparently,was,were
ParkerAn_2_CORE_P,CORE_P,Le garçon played  the games apparently,eétait,eétaient
ParkerAn_2_CORE_P,CORE_P,Le garçonqui a joué aux jeux apparemment,was,were
ParkerAn_2_CORE_P,CORE_P,Le garçonqui a joué aux jeux apparemment,eétait,eétaient
ParkerAn_3_OBLIQUE_S,OBLIQUE_S,The mom  drove with the kid unsurprisingly,was,were
ParkerAn_3_OBLIQUE_S,OBLIQUE_S,The mom  drove with the kid unsurprisingly,eétait,eétaient
ParkerAn_3_OBLIQUE_S,OBLIQUE_S,The mom qui a conduit avec l'enfant sans surprise,was,were
ParkerAn_3_OBLIQUE_S,OBLIQUE_S,The mom qui a conduit avec l'enfant sans surprise,eétait,eétaient
ParkerAn_3_OBLIQUE_S,OBLIQUE_S,La mère drove with the kid unsurprisingly,was,were
ParkerAn_3_OBLIQUE_S,OBLIQUE_S,La mère drove with the kid unsurprisingly,eétait,eétaient
ParkerAn_3_OBLIQUE_S,OBLIQUE_S,La mèrequi a conduit avec l'enfant sans surprise,was,were
ParkerAn_3_OBLIQUE_S,OBLIQUE_S,La mèrequi a conduit avec l'enfant sans surprise,eétait,eétaient
ParkerAn_3_CORE_S,CORE_S,The mom  drove  the kid unsurprisingly,was,were
ParkerAn_3_CORE_S,CORE_S,The mom  drove  the kid unsurprisingly,eétait,eétaient
ParkerAn_3_CORE_S,CORE_S,The mom qui a conduit l'enfant sans surprise,was,were
ParkerAn_3_CORE_S,CORE_S,The mom qui a conduit l'enfant sans surprise,eétait,eétaient
ParkerAn_3_CORE_S,CORE_S,La mère drove  the kid unsurprisingly,was,were
ParkerAn_3_CORE_S,CORE_S,La mère drove  the kid unsurprisingly,eétait,eétaient
ParkerAn_3_CORE_S,CORE_S,La mèrequi a conduit l'enfant sans surprise,was,were
ParkerAn_3_CORE_S,CORE_S,La mèrequi a conduit l'enfant sans surprise,eétait,eétaient
ParkerAn_3_OBLIQUE_P,OBLIQUE_P,The mom  drove with the kids unsurprisingly,was,were
ParkerAn_3_OBLIQUE_P,OBLIQUE_P,The mom  drove with the kids unsurprisingly,eétait,eétaient
ParkerAn_3_OBLIQUE_P,OBLIQUE_P,The mom qui a conduit avec les enfants sans surprise,was,were
ParkerAn_3_OBLIQUE_P,OBLIQUE_P,The mom qui a conduit avec les enfants sans surprise,eétait,eétaient
ParkerAn_3_OBLIQUE_P,OBLIQUE_P,La mère drove with the kids unsurprisingly,was,were
ParkerAn_3_OBLIQUE_P,OBLIQUE_P,La mère drove with the kids unsurprisingly,eétait,eétaient
ParkerAn_3_OBLIQUE_P,OBLIQUE_P,La mèrequi a conduit avec les enfants sans surprise,was,were
ParkerAn_3_OBLIQUE_P,OBLIQUE_P,La mèrequi a conduit avec les enfants sans surprise,eétait,eétaient
ParkerAn_3_CORE_P,CORE_P,The mom  drove  the kids unsurprisingly,was,were
ParkerAn_3_CORE_P,CORE_P,The mom  drove  the kids unsurprisingly,eétait,eétaient
ParkerAn_3_CORE_P,CORE_P,The mom qui a conduit les enfants sans surprise,was,were
ParkerAn_3_CORE_P,CORE_P,The mom qui a conduit les enfants sans surprise,eétait,eétaient
ParkerAn_3_CORE_P,CORE_P,La mère drove  the kids unsurprisingly,was,were
ParkerAn_3_CORE_P,CORE_P,La mère drove  the kids unsurprisingly,eétait,eétaient
ParkerAn_3_CORE_P,CORE_P,La mèrequi a conduit les enfants sans surprise,was,were
ParkerAn_3_CORE_P,CORE_P,La mèrequi a conduit les enfants sans surprise,eétait,eétaient
ParkerAn_4_OBLIQUE_S,OBLIQUE_S,The kid  hid behind the toy definitely,was,were
ParkerAn_4_OBLIQUE_S,OBLIQUE_S,The kid  hid behind the toy definitely,eétait,eétaient
ParkerAn_4_OBLIQUE_S,OBLIQUE_S,The kid qui s'est caché derrière le jouet définitivement,was,were
ParkerAn_4_OBLIQUE_S,OBLIQUE_S,The kid qui s'est caché derrière le jouet définitivement,eétait,eétaient
ParkerAn_4_OBLIQUE_S,OBLIQUE_S,L'enfant hid behind the toy definitely,was,were
ParkerAn_4_OBLIQUE_S,OBLIQUE_S,L'enfant hid behind the toy definitely,eétait,eétaient
ParkerAn_4_OBLIQUE_S,OBLIQUE_S,L'enfantqui s'est caché derrière le jouet définitivement,was,were
ParkerAn_4_OBLIQUE_S,OBLIQUE_S,L'enfantqui s'est caché derrière le jouet définitivement,eétait,eétaient
ParkerAn_4_CORE_S,CORE_S,The kid  hid  the toy definitely,was,were
ParkerAn_4_CORE_S,CORE_S,The kid  hid  the toy definitely,eétait,eétaient
ParkerAn_4_CORE_S,CORE_S,The kid qui a définitivement caché le jouet,was,were
ParkerAn_4_CORE_S,CORE_S,The kid qui a définitivement caché le jouet,eétait,eétaient
ParkerAn_4_CORE_S,CORE_S,L'enfant hid  the toy definitely,was,were
ParkerAn_4_CORE_S,CORE_S,L'enfant hid  the toy definitely,eétait,eétaient
ParkerAn_4_CORE_S,CORE_S,L'enfantqui a définitivement caché le jouet,was,were
ParkerAn_4_CORE_S,CORE_S,L'enfantqui a définitivement caché le jouet,eétait,eétaient
ParkerAn_4_OBLIQUE_P,OBLIQUE_P,The kid  hid behind the toys definitely,was,were
ParkerAn_4_OBLIQUE_P,OBLIQUE_P,The kid  hid behind the toys definitely,eétait,eétaient
ParkerAn_4_OBLIQUE_P,OBLIQUE_P,The kid qui s'est caché derrière les jouets définitivement,was,were
ParkerAn_4_OBLIQUE_P,OBLIQUE_P,The kid qui s'est caché derrière les jouets définitivement,eétait,eétaient
ParkerAn_4_OBLIQUE_P,OBLIQUE_P,L'enfant hid behind the toys definitely,was,were
ParkerAn_4_OBLIQUE_P,OBLIQUE_P,L'enfant hid behind the toys definitely,eétait,eétaient
ParkerAn_4_OBLIQUE_P,OBLIQUE_P,L'enfantqui s'est caché derrière les jouets définitivement,was,were
ParkerAn_4_OBLIQUE_P,OBLIQUE_P,L'enfantqui s'est caché derrière les jouets définitivement,eétait,eétaient
ParkerAn_4_CORE_P,CORE_P,The kid  hid  the toys definitely,was,were
ParkerAn_4_CORE_P,CORE_P,The kid  hid  the toys definitely,eétait,eétaient
ParkerAn_4_CORE_P,CORE_P,The kid qui a définitivement caché les jouets,was,were
ParkerAn_4_CORE_P,CORE_P,The kid qui a définitivement caché les jouets,eétait,eétaient
ParkerAn_4_CORE_P,CORE_P,L'enfant hid  the toys definitely,was,were
ParkerAn_4_CORE_P,CORE_P,L'enfant hid  the toys definitely,eétait,eétaient
ParkerAn_4_CORE_P,CORE_P,L'enfantqui a définitivement caché les jouets,was,were
ParkerAn_4_CORE_P,CORE_P,L'enfantqui a définitivement caché les jouets,eétait,eétaient
ParkerAn_5_OBLIQUE_S,OBLIQUE_S,The policeman  patrolled through the neighborhood evidently,was,were
ParkerAn_5_OBLIQUE_S,OBLIQUE_S,The policeman  patrolled through the neighborhood evidently,eétait,eétaient
ParkerAn_5_OBLIQUE_S,OBLIQUE_S,The policeman qui a patrouillé dans le quartier évidemment,was,were
ParkerAn_5_OBLIQUE_S,OBLIQUE_S,The policeman qui a patrouillé dans le quartier évidemment,eétait,eétaient
ParkerAn_5_OBLIQUE_S,OBLIQUE_S,Le policier patrolled through the neighborhood evidently,was,were
ParkerAn_5_OBLIQUE_S,OBLIQUE_S,Le policier patrolled through the neighborhood evidently,eétait,eétaient
ParkerAn_5_OBLIQUE_S,OBLIQUE_S,Le policierqui a patrouillé dans le quartier évidemment,was,were
ParkerAn_5_OBLIQUE_S,OBLIQUE_S,Le policierqui a patrouillé dans le quartier évidemment,eétait,eétaient
ParkerAn_5_CORE_S,CORE_S,The policeman  patrolled  the neighborhood evidently,was,were
ParkerAn_5_CORE_S,CORE_S,The policeman  patrolled  the neighborhood evidently,eétait,eétaient
ParkerAn_5_CORE_S,CORE_S,The policeman qui patrouillait évidemment dans le quartier,was,were
ParkerAn_5_CORE_S,CORE_S,The policeman qui patrouillait évidemment dans le quartier,eétait,eétaient
ParkerAn_5_CORE_S,CORE_S,Le policier patrolled  the neighborhood evidently,was,were
ParkerAn_5_CORE_S,CORE_S,Le policier patrolled  the neighborhood evidently,eétait,eétaient
ParkerAn_5_CORE_S,CORE_S,Le policierqui patrouillait évidemment dans le quartier,was,were
ParkerAn_5_CORE_S,CORE_S,Le policierqui patrouillait évidemment dans le quartier,eétait,eétaient
ParkerAn_5_OBLIQUE_P,OBLIQUE_P,The policeman  patrolled through the neighborhoods evidently,was,were
ParkerAn_5_OBLIQUE_P,OBLIQUE_P,The policeman  patrolled through the neighborhoods evidently,eétait,eétaient
ParkerAn_5_OBLIQUE_P,OBLIQUE_P,The policeman qui patrouillait dans les quartiers de toute évidence,was,were
ParkerAn_5_OBLIQUE_P,OBLIQUE_P,The policeman qui patrouillait dans les quartiers de toute évidence,eétait,eétaient
ParkerAn_5_OBLIQUE_P,OBLIQUE_P,Le policier patrolled through the neighborhoods evidently,was,were
ParkerAn_5_OBLIQUE_P,OBLIQUE_P,Le policier patrolled through the neighborhoods evidently,eétait,eétaient
ParkerAn_5_OBLIQUE_P,OBLIQUE_P,Le policierqui patrouillait dans les quartiers de toute évidence,was,were
ParkerAn_5_OBLIQUE_P,OBLIQUE_P,Le policierqui patrouillait dans les quartiers de toute évidence,eétait,eétaient
ParkerAn_5_CORE_P,CORE_P,The policeman  patrolled  the neighborhoods evidently,was,were
ParkerAn_5_CORE_P,CORE_P,The policeman  patrolled  the neighborhoods evidently,eétait,eétaient
ParkerAn_5_CORE_P,CORE_P,The policeman qui patrouillait évidemment dans les quartiers,was,were
ParkerAn_5_CORE_P,CORE_P,The policeman qui patrouillait évidemment dans les quartiers,eétait,eétaient
ParkerAn_5_CORE_P,CORE_P,Le policier patrolled  the neighborhoods evidently,was,were
ParkerAn_5_CORE_P,CORE_P,Le policier patrolled  the neighborhoods evidently,eétait,eétaient
ParkerAn_5_CORE_P,CORE_P,Le policierqui patrouillait évidemment dans les quartiers,was,were
ParkerAn_5_CORE_P,CORE_P,Le policierqui patrouillait évidemment dans les quartiers,eétait,eétaient
ParkerAn_6_OBLIQUE_S,OBLIQUE_S,The goat  ate from the can evidently,was,were
ParkerAn_6_OBLIQUE_S,OBLIQUE_S,The goat  ate from the can evidently,eétait,eétaient
ParkerAn_6_OBLIQUE_S,OBLIQUE_S,The goat qui a mangé de la boîte évidemment,was,were
ParkerAn_6_OBLIQUE_S,OBLIQUE_S,The goat qui a mangé de la boîte évidemment,eétait,eétaient
ParkerAn_6_OBLIQUE_S,OBLIQUE_S,La chèvre ate from the can evidently,was,were
ParkerAn_6_OBLIQUE_S,OBLIQUE_S,La chèvre ate from the can evidently,eétait,eétaient
ParkerAn_6_OBLIQUE_S,OBLIQUE_S,La chèvrequi a mangé de la boîte évidemment,was,were
ParkerAn_6_OBLIQUE_S,OBLIQUE_S,La chèvrequi a mangé de la boîte évidemment,eétait,eétaient
ParkerAn_6_CORE_S,CORE_S,The goat  ate  the can evidently,was,were
ParkerAn_6_CORE_S,CORE_S,The goat  ate  the can evidently,eétait,eétaient
ParkerAn_6_CORE_S,CORE_S,The goat qui a mangé la canette évidemment,was,were
ParkerAn_6_CORE_S,CORE_S,The goat qui a mangé la canette évidemment,eétait,eétaient
ParkerAn_6_CORE_S,CORE_S,La chèvre ate  the can evidently,was,were
ParkerAn_6_CORE_S,CORE_S,La chèvre ate  the can evidently,eétait,eétaient
ParkerAn_6_CORE_S,CORE_S,La chèvrequi a mangé la canette évidemment,was,were
ParkerAn_6_CORE_S,CORE_S,La chèvrequi a mangé la canette évidemment,eétait,eétaient
ParkerAn_6_OBLIQUE_P,OBLIQUE_P,The goat  ate from the cans evidently,was,were
ParkerAn_6_OBLIQUE_P,OBLIQUE_P,The goat  ate from the cans evidently,eétait,eétaient
ParkerAn_6_OBLIQUE_P,OBLIQUE_P,The goat qui a mangé des canettes de toute évidence,was,were
ParkerAn_6_OBLIQUE_P,OBLIQUE_P,The goat qui a mangé des canettes de toute évidence,eétait,eétaient
ParkerAn_6_OBLIQUE_P,OBLIQUE_P,La chèvre ate from the cans evidently,was,were
ParkerAn_6_OBLIQUE_P,OBLIQUE_P,La chèvre ate from the cans evidently,eétait,eétaient
ParkerAn_6_OBLIQUE_P,OBLIQUE_P,La chèvrequi a mangé des canettes de toute évidence,was,were
ParkerAn_6_OBLIQUE_P,OBLIQUE_P,La chèvrequi a mangé des canettes de toute évidence,eétait,eétaient
ParkerAn_6_CORE_P,CORE_P,The goat  ate  the cans evidently,was,were
ParkerAn_6_CORE_P,CORE_P,The goat  ate  the cans evidently,eétait,eétaient
ParkerAn_6_CORE_P,CORE_P,The goat qui a mangé les canettes de toute évidence,was,were
ParkerAn_6_CORE_P,CORE_P,The goat qui a mangé les canettes de toute évidence,eétait,eétaient
ParkerAn_6_CORE_P,CORE_P,La chèvre ate  the cans evidently,was,were
ParkerAn_6_CORE_P,CORE_P,La chèvre ate  the cans evidently,eétait,eétaient
ParkerAn_6_CORE_P,CORE_P,La chèvrequi a mangé les canettes de toute évidence,was,were
ParkerAn_6_CORE_P,CORE_P,La chèvrequi a mangé les canettes de toute évidence,eétait,eétaient
ParkerAn_7_OBLIQUE_S,OBLIQUE_S,The scientist  prepared for the experiment suddenly,was,were
ParkerAn_7_OBLIQUE_S,OBLIQUE_S,The scientist  prepared for the experiment suddenly,eétait,eétaient
ParkerAn_7_OBLIQUE_S,OBLIQUE_S,The scientist qui s'est préparé soudainement à l'expérience,was,were
ParkerAn_7_OBLIQUE_S,OBLIQUE_S,The scientist qui s'est préparé soudainement à l'expérience,eétait,eétaient
ParkerAn_7_OBLIQUE_S,OBLIQUE_S,Le scientifique prepared for the experiment suddenly,was,were
ParkerAn_7_OBLIQUE_S,OBLIQUE_S,Le scientifique prepared for the experiment suddenly,eétait,eétaient
ParkerAn_7_OBLIQUE_S,OBLIQUE_S,Le scientifiquequi s'est préparé soudainement à l'expérience,was,were
ParkerAn_7_OBLIQUE_S,OBLIQUE_S,Le scientifiquequi s'est préparé soudainement à l'expérience,eétait,eétaient
ParkerAn_7_CORE_S,CORE_S,The scientist  prepared  the experiment suddenly,was,were
ParkerAn_7_CORE_S,CORE_S,The scientist  prepared  the experiment suddenly,eétait,eétaient
ParkerAn_7_CORE_S,CORE_S,The scientist qui a préparé l'expérience soudainement,was,were
ParkerAn_7_CORE_S,CORE_S,The scientist qui a préparé l'expérience soudainement,eétait,eétaient
ParkerAn_7_CORE_S,CORE_S,Le scientifique prepared  the experiment suddenly,was,were
ParkerAn_7_CORE_S,CORE_S,Le scientifique prepared  the experiment suddenly,eétait,eétaient
ParkerAn_7_CORE_S,CORE_S,Le scientifiquequi a préparé l'expérience soudainement,was,were
ParkerAn_7_CORE_S,CORE_S,Le scientifiquequi a préparé l'expérience soudainement,eétait,eétaient
ParkerAn_7_OBLIQUE_P,OBLIQUE_P,The scientist  prepared for the experiments suddenly,was,were
ParkerAn_7_OBLIQUE_P,OBLIQUE_P,The scientist  prepared for the experiments suddenly,eétait,eétaient
ParkerAn_7_OBLIQUE_P,OBLIQUE_P,The scientist qui s'est préparé soudainement aux expériences,was,were
ParkerAn_7_OBLIQUE_P,OBLIQUE_P,The scientist qui s'est préparé soudainement aux expériences,eétait,eétaient
ParkerAn_7_OBLIQUE_P,OBLIQUE_P,Le scientifique prepared for the experiments suddenly,was,were
ParkerAn_7_OBLIQUE_P,OBLIQUE_P,Le scientifique prepared for the experiments suddenly,eétait,eétaient
ParkerAn_7_OBLIQUE_P,OBLIQUE_P,Le scientifiquequi s'est préparé soudainement aux expériences,was,were
ParkerAn_7_OBLIQUE_P,OBLIQUE_P,Le scientifiquequi s'est préparé soudainement aux expériences,eétait,eétaient
ParkerAn_7_CORE_P,CORE_P,The scientist  prepared  the experiments suddenly,was,were
ParkerAn_7_CORE_P,CORE_P,The scientist  prepared  the experiments suddenly,eétait,eétaient
ParkerAn_7_CORE_P,CORE_P,The scientist qui a préparé les expériences soudainement,was,were
ParkerAn_7_CORE_P,CORE_P,The scientist qui a préparé les expériences soudainement,eétait,eétaient
ParkerAn_7_CORE_P,CORE_P,Le scientifique prepared  the experiments suddenly,was,were
ParkerAn_7_CORE_P,CORE_P,Le scientifique prepared  the experiments suddenly,eétait,eétaient
ParkerAn_7_CORE_P,CORE_P,Le scientifiquequi a préparé les expériences soudainement,was,were
ParkerAn_7_CORE_P,CORE_P,Le scientifiquequi a préparé les expériences soudainement,eétait,eétaient
ParkerAn_8_OBLIQUE_S,OBLIQUE_S,The student  wrote to the professor likely,was,were
ParkerAn_8_OBLIQUE_S,OBLIQUE_S,The student  wrote to the professor likely,eétait,eétaient
ParkerAn_8_OBLIQUE_S,OBLIQUE_S,The student qui a probablement écrit au professeur,was,were
ParkerAn_8_OBLIQUE_S,OBLIQUE_S,The student qui a probablement écrit au professeur,eétait,eétaient
ParkerAn_8_OBLIQUE_S,OBLIQUE_S,L'étudiant wrote to the professor likely,was,were
ParkerAn_8_OBLIQUE_S,OBLIQUE_S,L'étudiant wrote to the professor likely,eétait,eétaient
ParkerAn_8_OBLIQUE_S,OBLIQUE_S,L'étudiantqui a probablement écrit au professeur,was,were
ParkerAn_8_OBLIQUE_S,OBLIQUE_S,L'étudiantqui a probablement écrit au professeur,eétait,eétaient
ParkerAn_8_CORE_S,CORE_S,The student  wrote  the professor likely,was,were
ParkerAn_8_CORE_S,CORE_S,The student  wrote  the professor likely,eétait,eétaient
ParkerAn_8_CORE_S,CORE_S,The student qui a probablement écrit le professeur,was,were
ParkerAn_8_CORE_S,CORE_S,The student qui a probablement écrit le professeur,eétait,eétaient
ParkerAn_8_CORE_S,CORE_S,L'étudiant wrote  the professor likely,was,were
ParkerAn_8_CORE_S,CORE_S,L'étudiant wrote  the professor likely,eétait,eétaient
ParkerAn_8_CORE_S,CORE_S,L'étudiantqui a probablement écrit le professeur,was,were
ParkerAn_8_CORE_S,CORE_S,L'étudiantqui a probablement écrit le professeur,eétait,eétaient
ParkerAn_8_OBLIQUE_P,OBLIQUE_P,The student  wrote to the professors likely,was,were
ParkerAn_8_OBLIQUE_P,OBLIQUE_P,The student  wrote to the professors likely,eétait,eétaient
ParkerAn_8_OBLIQUE_P,OBLIQUE_P,The student qui a probablement écrit aux professeurs,was,were
ParkerAn_8_OBLIQUE_P,OBLIQUE_P,The student qui a probablement écrit aux professeurs,eétait,eétaient
ParkerAn_8_OBLIQUE_P,OBLIQUE_P,L'étudiant wrote to the professors likely,was,were
ParkerAn_8_OBLIQUE_P,OBLIQUE_P,L'étudiant wrote to the professors likely,eétait,eétaient
ParkerAn_8_OBLIQUE_P,OBLIQUE_P,L'étudiantqui a probablement écrit aux professeurs,was,were
